pixel_no	pixel_x	pixel_y	latitude	longitude	reflec_1_NOICOL_mean	reflec_1_NOICOL_sigma	band	Product	ICOL_ID	Percentage_difference	Distance_Km
1	97	217	58.74499	17.338377	-4.49E-04	3.40E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	12.34	0.548
2	98	218	58.741795	17.341255	-2.08E-04	6.23E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	-51.78	0.940
3	99	219	58.7386	17.344131	3.19E-04	7.66E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	-8.30	1.332
4	100	220	58.73541	17.347012	8.58E-04	7.52E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	-2.26	1.566
5	100	221	58.732872	17.345583	0.0010059067	7.31E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	0.91	1.956
6	101	222	58.729675	17.348461	0.0013807197	2.99E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	5.76	2.346
7	102	223	58.72648	17.351336	0.0014953724	2.16E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	2.34	2.737
8	103	224	58.723286	17.354212	0.0014647878	2.14E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	4.87	3.128
9	104	225	58.72009	17.357088	0.0014847388	1.62E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	3.57	3.519
10	105	226	58.716892	17.35996	0.0015451933	1.25E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	4.50	3.911
11	106	227	58.7137	17.362833	0.0016672567	2.36E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	5.19	4.145
12	106	228	58.711163	17.361404	0.0017018375	2.39E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	5.60	4.536
13	107	229	58.707966	17.364277	0.0016204948	2.43E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	5.57	4.926
14	108	230	58.704773	17.367151	0.0016421176	1.87E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	5.18	5.318
15	109	231	58.701576	17.370024	0.0016589799	2.07E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	5.09	5.708
16	110	232	58.698383	17.372892	0.0017055385	1.91E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	4.98	6.100
17	111	233	58.695187	17.375763	0.0017171034	2.70E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	5.56	6.491
18	112	234	58.69199	17.378633	0.0017639782	2.44E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	5.66	6.725
19	112	235	58.689457	17.377205	0.001749757	1.92E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	5.90	7.116
